Year	Age	Tm	Lg	G	PA	AB	R	H	2B	3B	HR	RBI	SB	CS	BB	SO	BA	OBP	SLG	OPS	OPS+	TB	GDP	HBP	SH	SF	IBB	Pos	Awards
2007	24	HOU	NL	108	484	456	57	147	30	9	17	69	11	5	26	95	.322	.360	.539	.899	129	246	10	1	0	1	0	89	RoY-3
2008	25	HOU	NL	157	642	595	78	160	34	4	25	83	11	10	40	124	.269	.318	.466	.783	105	277	14	4	0	3	2	*9
2009	26	HOU	NL	159	647	585	76	165	26	5	25	72	14	11	58	109	.282	.346	.472	.818	116	276	25	1	0	3	1	*9	AS
2010	27	HOU	NL	156	658	614	93	173	29	3	25	91	18	9	41	105	.282	.325	.461	.786	112	283	11	0	0	3	2	*9
2011	28	TOT	NL	154	668	606	84	190	38	5	22	97	8	2	56	124	.314	.370	.502	.871	139	304	15	1	0	5	3	*9	ASMVP-16
2011	28	HOU	NL	100	432	399	49	123	26	3	11	62	7	1	30	86	.308	.356	.471	.828	128	188	7	1	0	2	1	9
2011	28	PHI	NL	54	236	207	35	67	12	2	11	35	1	1	26	38	.324	.394	.560	.954	159	116	8	0	0	3	2	9
2012	29	TOT	NL	160	688	617	87	156	26	4	24	104	5	2	56	145	.253	.319	.425	.743	103	262	14	7	1	7	2	*9	MVP-32
2012	29	PHI	NL	101	440	398	59	108	15	2	17	59	4	2	37	85	.271	.336	.447	.784	109	178	13	3	0	2	1	9
2012	29	SFG	NL	59	248	219	28	48	11	2	7	45	1	0	19	60	.219	.287	.384	.671	90	84	1	4	1	5	1	9
2013	30	SFG	NL	162	687	629	91	178	35	5	27	99	22	3	52	115	.283	.339	.483	.822	133	304	17	3	0	3	3	*9	MVP-16
2014	31	SFG	NL	162	708	650	106	180	29	10	20	74	13	6	52	130	.277	.332	.445	.777	121	289	13	3	0	3	3	*9/8	ASMVP-11
2015	32	SFG	NL	52	223	207	30	57	13	1	9	40	4	1	16	48	.275	.327	.478	.806	119	99	8	0	0	0	0	9/D
2016	33	SFG	NL	106	442	395	58	114	23	1	13	57	1	1	43	95	.289	.357	.451	.808	119	178	10	1	0	3	1	9
2017	34	SFG	NL	80	323	298	31	73	7	2	6	39	1	2	20	65	.245	.294	.342	.636	69	102	4	2	0	3	0	*9/D
