Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2005,22,SEA,AL,10,21,18,1,1,0,0,0,1,0,0,3,4,.056,.190,.056,.246,-28,1,0,0,0,0,0,/8,
2006,23,TOT,AL,49,179,157,23,44,12,3,3,22,5,3,18,50,.280,.360,.452,.812,110,71,3,2,1,1,2,9/78D,
2006,23,SEA,AL,4,12,11,0,1,1,0,0,0,0,0,0,4,.091,.167,.182,.348,-8,2,1,1,0,0,0,/8,
2006,23,CLE,AL,45,167,146,23,43,11,3,3,22,5,3,18,46,.295,.373,.473,.846,119,69,2,1,1,1,2,9/7D,
2007,24,CLE,AL,6,20,17,5,5,0,0,0,5,0,1,2,5,.294,.350,.294,.644,72,5,0,0,0,1,1,/79,
2008,25,CLE,AL,94,370,317,68,98,28,3,14,66,4,3,44,78,.309,.397,.549,.946,151,174,5,5,0,4,4,97D,
2009,26,CLE,AL,156,685,583,87,175,38,6,20,86,21,2,78,151,.300,.394,.489,.883,136,285,9,17,0,7,5,*97D/8,
2010,27,CLE,AL,144,646,550,81,165,31,2,22,90,22,7,83,118,.300,.401,.484,.885,147,266,11,11,0,2,11,*9/D,MVP-14
2011,28,CLE,AL,85,358,313,37,81,11,3,8,36,12,5,36,78,.259,.344,.390,.733,107,122,7,6,0,3,3,9,
2012,29,CLE,AL,155,686,598,88,169,43,2,16,67,21,7,73,150,.283,.373,.441,.815,129,264,10,14,0,1,0,*9,
2013,30,CIN,NL,154,712,569,107,162,34,2,21,54,20,11,112,133,.285,.423,.462,.885,145,263,3,26,3,2,5,*8/7,MVP-12
2014,31,TEX,AL,123,529,455,58,110,19,1,13,40,3,4,58,131,.242,.340,.374,.714,100,170,9,12,0,4,3,7D9,
2015,32,TEX,AL,149,653,555,94,153,32,3,22,82,4,2,76,147,.276,.375,.463,.838,125,257,7,15,2,5,1,*9/D,
2016,33,TEX,AL,48,210,178,27,43,7,0,7,17,6,3,25,46,.242,.357,.399,.756,100,71,1,7,0,0,1,9/D,
2017,34,TEX,AL,89,394,330,53,82,8,1,14,48,9,2,55,77,.248,.361,.406,.767,102,134,13,5,1,3,1,9D
